"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 25 14:14:23 GMT 2023","Tue Jul 25 14:14:32 GMT 2023","8536","","tests.LogoutTest","","tests.LogoutTest","logoutSuccessfully","logoutSuccessfully()",""
"passed","Tue Jul 25 14:14:54 GMT 2023","Tue Jul 25 14:14:58 GMT 2023","3783","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [7] , password, username",""
"passed","Tue Jul 25 14:14:53 GMT 2023","Tue Jul 25 14:14:56 GMT 2023","3228","","","","","","Example #1.3",""
"passed","Tue Jul 25 14:13:24 GMT 2023","Tue Jul 25 14:14:22 GMT 2023","57989","","tests.BasicAuthTest","","tests.BasicAuthTest","basicAuth","basicAuth()",""
"passed","Tue Jul 25 14:15:03 GMT 2023","Tue Jul 25 14:15:06 GMT 2023","2811","","login","","login with invalid length value scenario","","login with invalid length value scenario","  try to login with invalid length value"
"passed","Tue Jul 25 14:14:50 GMT 2023","Tue Jul 25 14:14:54 GMT 2023","3263","","tests.UniversalLoginTest","","tests.UniversalLoginTest","universalLogin","universalLogin(String, String, String) [6] angular, password, te",""
"failed","Tue Jul 25 14:15:21 GMT 2023","Tue Jul 25 14:15:23 GMT 2023","1973","","tests.LoginTest","","tests.LoginTest","hintToEmptyPasswordField","hintToEmptyPasswordField()",""
"passed","Tue Jul 25 14:15:04 GMT 2023","Tue Jul 25 14:15:07 GMT 2023","2322","","tests.LoginTest","","tests.LoginTest","usernameErrorMessageWithInvalidLengthValues","usernameErrorMessageWithInvalidLengthValues()",""
"passed","Tue Jul 25 14:14:29 GMT 2023","Tue Jul 25 14:14:36 GMT 2023","7603","","","","","","login with valid value scenario",""
"passed","Tue Jul 25 14:15:06 GMT 2023","Tue Jul 25 14:15:09 GMT 2023","2725","","","","","","Example #1.7",""
"passed","Tue Jul 25 14:14:46 GMT 2023","Tue Jul 25 14:14:51 GMT 2023","4959","","tests.LoginTest","","tests.LoginTest","loginWithInvalidPassword","loginWithInvalidPassword()",""
